id,text
d_3_s28,"We wish to repeat here, what we have said on earlier occasions, that there should be greater precision and perspicuity in affidavits filed into Court."
d_3_s29,Care and clarity are particularly important when the Court is concerned with questions of personal freedom.
d_3_s30,"In support of the second and third submissions, reliance was placed by the learned counsel for the petitioner on the four principles laid down by this Court in Jayanarayan Sukul vs State of West Bengal 1969 Indlaw SC 445, and on the observations of the Court in Nareendra Purshotam Umrao etc. vs B. B. Gujaral & Ors. 1978 Indlaw SC 272 and Ramchandra A. Kamat vs Union of India & Ors 1980 Indlaw SC 122."
d_3_s31,In the first case a Constitution bench of the Court laid down four broad principles to be followed in regard to representation of detenus :
d_3_s32,"First, the appropriate authority is bound to give an opportunity to the detenu to make a representation and to consider the representation of the detenu as early as possible.
Secondly, the consideration of the representation of the detenu by the appropriate authority is entirely independent of any action by the Advisory Board including the consideration of the representation of the detenu by the Advisory Board.
Thirdly, there should not be any delay in the matter of consideration.
It is true that no hard and fast rule can be laid down as to the measure of time taken by the appropriate authority for consideration but it has to be remembered that the Government has to be vigilant in the governance of the citizens.
A citizen's right raises a correlative duty of the State.
Fourthly, the appropriate Government is to exercise its opinion and judgment on the representation before sending the case along with the detenu's representation to the Advisory Board.
If the appropriate Government will release the detenu the Government will not send the matter to the Advisory Board.
If, however, the Government will not release the detenu the Government will send the case alongwith the detenu's representation to the Advisory Board.
If thereafter the Advisory Board will express an opinion in favour of release of the detenu the Government will release the detenu.
If the Advisory Board will express any opinion against the release of the detenu the Government may still exercise the power to release the detenu."
d_3_s33,"In the second case, to the facts of which we will refer later, the observations upon which reliance was placed were :"
d_3_s34,"It is urged that the Government was under a constitutional obligation to consider the representations before the hearing before the Advisory Board.
There is no quarrel with the principle but the difficulty is about the application of the principle on the facts an circumstances of the present case.
In fact, the Government has to reach its decision uninfluenced by the opinion of the Advisory Board."
d_3_s35,"In the third case, offer of inspection of documents twelve days after request for copies was considered fatal to the detention and it was observed :"
d_3_s36,"If there is undue delay in furnishing the statements and documents referred to in the grounds of detention the right to make effective representation is denied.
The detention cannot be said to be according to the procedure prescribed by law.
When the Act contemplates the furnishing of grounds of detention ordinarily within five days of the order of detention the intention is clear that the statements and documents which are referred to in the grounds of detention and which are required by the detenu and are expected to be in possession of the detaining authority should be furnished with reasonable expedition."
d_3_s37,We have no doubt in our minds about the role of the Court in cases of preventive detention : it has to be one of eternal vigilance.
d_3_s38,No freedom is higher than personal freedom and no duty higher than to maintain it unimpaired.
d_3_s39,The Court's writ is the ultimate insurance against illegal detention.
d_3_s40,The Constitution enjoins conformance with the provisions of article 22 and the Court exacts compliance. article 22(5) vests in the detenu the right to be provided with an opportunity to make a represntation.
d_3_s41,Here the Law Reports tell a story and teach a lesson.
d_3_s42,"It is that the principal enemy of the detenu and his right to make a representation is neither high handedness nor mean mindedness but the casual indifference, the mindless in sensibility, the routine and the red tape of the bureaucratic machine."
d_3_s43,"The four principles enunciated by the Court in Jayanarayan Sukul vs State of West Bengal 1969 Indlaw SC 445 (supra) as well as other principles enunciated in other cases, an analysis will show, are aimed at shielding personal freedom against indifference, insensibility, routine and red tape and thus to secure to the detenu the right to make an effective representation."
d_3_s44,We agree :
d_3_s45,"(1) the detaining authority must provide the detenu a very early opportunity to make a representation,"
d_3_s46,"(2) the detaining authority must consider the representation as soon as possible, and this, preferably, must be before the representation is forwarded to the Advisory Board,"
d_3_s47,"(3) the representation must be forwarded to the Advisory Board before the Board makes its report, and"
d_3_s48,"(4) the consideration by the detaining authority of the representation must be entirely independent of the hearing by the Board or its report, expedition being essential at every stage."
d_3_s49,"We, however, hasten to add that the time imperative can never be absolute or obsessive."
d_3_s50,The Court's observations are not to be so understood.
d_3_s51,"There has to be lee way, depending on the necessities (we refrain from using the word 'circumstances') of the case."
d_3_s52,"One may well imagine, a case where a detenu does not make a representation before the Board makes its report making it impossible for the detaining authority either to consider it or to forward it to the Board in time or a case where a detenu makes a representation to the detaining authority so shortly before the Advisory Board takes up the reference that the detaining authority cannot consider the representation before then but may merely forward it to the Board without himself considering it."
d_3_s53,Several such situations may arise compelling departure from the time imperative.
d_3_s54,But no allowance can be made for lethargic indifference.
d_3_s55,No allowance can be made for needless procrastination.
d_3_s56,"But, allowance must surely be made for necessary consultation where legal intricacies and factual ramifications are involved."
d_3_s57,The burden of explaining the necessity for the slightest departure from the timeimperative is on the detaining authority.
d_3_s58,"We notice that in Narendra Purshotam Umarao etc. vs B. B. Gujral & Ors 1978 Indlaw SC 272. (supra) the detenu made his representation on 4th and 6th of March 1978, the Advisory Board gave a hearing on 13th March and the detaining authority rejected the representation on 18th March."
d_3_s59,The Court perused the records of the Government and the Advisory Board and concluded that there was no infraction of the Constitutional safeguard in article 22(5).
d_3_s60,"It was held, with reference to the records, that the Government had taken a decision uninfluenced by what transpired at the hearing before the Board."
d_3_s61,The matter was found to have been dealt with by the government at all levels and the detaining authority had come to an independent conclusion of his own by applying his mind to the facts and circumstances of the case.
d_3_s62,We have already expressed our agreement with the four principles enunciated in Jayanarayan Sukul vs State of West Bengal 1969 Indlaw SC 445 (supra).
d_3_s63,We would make one observation.
d_3_s64,"When it was said there that the Government should come to its decision on the representation before the Government forwarded the representation to the Advisory Board, the emphasis was not on the point of time but on the requirement that the Government should consider the representation independently of the Board."
d_3_s65,This was explained in Nagendra Nath Mondal vs the State of West Bengal 1972 Indlaw SC 401.
d_3_s66,In Sukul's case 1969 Indlaw SC 445 (supra) the Court also made certain pertinent observations :
d_3_s67,"No definite time can be laid down within which a representation of a detenu should be dealt with save and except that it is a constitutional right of a detenu to have his representation considered as expeditiously as possible.
It will depend upon the facts and circumstances of each case whether the appropriate Government has disposed of the case as expeditiously as possible. . . ."
d_3_s68,In Prabhakar Shankar Dhuri vs section section Pradhan 1970 Indlaw SC 383 and Kantilal Bose vs State of West Bengal 1972 Indlaw SC 546 delay of 16 days and 28 days respectively in disposing of the representation of the detenu was considered sufficient to vitiate the detention.
d_3_s69,"On the other hand, in Nagendra Nath Mondal vs the State of West Bengal1972 Indlaw SC 401, a delay of 34 days was held not to affect the validity of the detention as part of the delay was explained by the circumstance that the records of the case had been sent to the Advisory Board and part of the delay was explained by the enquiries which the Government had to make."
d_3_s70,The Court observed :
d_3_s71,"That fact is not disputed before us and so also the fact that those records showed that on June 7, 1971, Government had sent the files in connection with the petitioner's case and his representation to the Advisory Board.
As soon as the representation was returned to it, Government considered it and rejected it but that was before the Board made its report and sent it to Government.
But counsel urged that this fact may explain the lapse of time from the date that the records were sent and the date when they were returned, but not the delay between May 27, 1971 and June 7, 1971, during which Government could have arrived at its decision.
That argument has not much force, because in a given case Government may not be able to reach a proper conclusion within a short time especially, in a case where another authority, in this case the District Magistrate, has passed the questioned order.
It might have to make inquiries as to the situation in the locality, the nature of and the circumstances in which detention was found necessary, the previous history of the person detained etc.
Therefore, it is difficult to agree with counsel that Government should have reached its conclusion during the said period. . .There can be no hard and fast rule with regard to the time which Government can or should take, and that each case must be decided on its own facts."
d_3_s72,We may now consider whether the facts here disclose a disregard to the petitioner's constitutional right as claimed by his counsel in his second and third submissions.
d_3_s73,"The petitioner's request for copies of statements and documents was received by the detaining authority on December 3, 1979, and at the instance of the detaining authority, the Director of Revenue Intelligence furnished the copies sought on December 7, 1979."
d_3_s74,The authorities who laid the information before the detaining authority and who were primarily concerned in the matter were the Customs authorities via the Director of Revenue Intelligence.
d_3_s75,So the detaining authority directed the Director of Revenue Intelligence to furnish copies of the documents and it was so done.
d_3_s76,There was no delay in furnishing of documents and no legitimate complaint could be made on that score.
d_3_s77,"The detenu's representation was received by the detaining authority on December 26, 1979."
d_3_s78,Without any loss of time copy of the representation was sent to the Customs authorities for their remarks.
d_3_s79,That was obviously necessary because the information leading to the order of detention was laid by the Customs authorities.
d_3_s80,The facts were undoubtedly complex since the allegations against the detenu revealed an involvement with an international gang of dope smugglers.
d_3_s81,"The comments of the Customs authorities were received on January 4, 1980."
d_3_s82,"The Advisory Board was meeting on January 4, 1980 and so there could be no question of the detaining authority considering the representation of the detenu before the Board met, unless it was done in great and undue haste."
d_3_s83,"After obtaining the comments of the Customs authorities, it was found necessary to take legal advice as the representation posed many legal and constitutional questions."
d_3_s84,"So, after consultation with the Secretary (Law and Judicial) Delhi Administration, the representation was finally rejected by the Administrator on January 15, 1980."
d_3_s85,These facts are stated in the counter affidavit filed on behalf of the Delhi Administration and are substantiated by the records produced before us.
d_3_s86,"If there appeared to be any delay, it was not due to any want of care but because the representation required a thorough examination in consultation with investigators of fact and advisers on law."
d_3_s87,"We have ourselves examined the records and we find that though the Administrator considered the representation of the detenu after the hearing by the Board, the Administrator was entirely uninfluenced by the hearing before the Board."
d_3_s88,The application for the issue of a Writ of Habeas Corpus is therefore dismissed.
d_3_s89,Petition dismissed.
d_4_s1,We grant special leave and proced to hear the apeal.
d_4_s2,"The appellant, Abdul Latif Wahab Sheikh, was in jail from November 12, 1985 onwards awaiting trial on a charge of murder."
d_4_s3,"He was acquitted on May 26, 1986."
d_4_s4,"Though acquitted, he was not straightaway released from prison."
d_4_s5,The reasons are not clear to us from the record.
d_4_s6,Presumably he was required in connection with some other case.
d_4_s7,"He was due for release from prison on June 23, 1986."
d_4_s8,"On that day, however, an order for his detention was made under the provisions of the Gujarat Prevention of Anti Social Activities Act, 1985."
d_4_s9,"The mandate of article 22(4) of the Constitution is that no law providing for preventive detention shall authorise the detention of a person for a longer period than three months unless an Advisory Board consisting of persons who are, or have been, or are qualified to be appointed as, Judges of a High Court, has reported before the expiration of the said period of three months that there is in its opinion sufficient cause for such detention. section 10 of the Gujarat Prevention of Anti Social Activities Act, 1985 provides for the Constitution of an Advisory Board, sec. 11 provides for reference to the Advisory Board and sec. 12 prescribes the procedure to be followed by the Advisory Board."
d_4_s10,"What is important for the purposes of this case is that sec. 11 stipulates that in every case where a detention order has been made under the Act, the State Government shall, within three weeks from the date of detention of a person under the order, place before the Advisory Board the grounds on which the order has been made, the representation, if any, made by the detenu and the report, if any, of the authorised officer."
d_4_s11,"What is intriguing in the case is that on the date when the detention order was made, there was no Advisory Board in existence to which a reference could be made under sec. 11 of the Act and whose report of its opinion regarding sufficient cause for the detention was required to be obtained within three months of the detention under article 22(4) of the Constitution."
d_4_s12,"The period of three weeks stipulated by sec. 11 of the Act expired on July 14, 1986."
d_4_s13,"The petitioner was entitled to be released on July 14, 1986 as no reference had been made to the Advisory Board within the period contemplated by sec. 11 of the Act."
d_4_s14,But he was not so released.
d_4_s15,"This state of affairs continued till August 7, 1986 when the order of detention dated June 23, 1986 was revoked and a fresh order of detention was made on the same facts on the same day."
d_4_s16,"In the meanwhile, the order of detention dated June 23, 1986 had been challenged by filing a writ petition in the High Court."
d_4_s17,"Consequent on the revocation of that order that writ petition was withdrawn as having become infructuous and another writ petition, out of which the present appeal arises, was filed questioning the second order of detention dated August 7, 1986."
d_4_s18,"The Advisory Board was constituted on August 18, 1986."
d_4_s19,"Reference to the Advisory Board was made on August 20, 1986."
d_4_s20,"The Advisory Board made its report on September 26, 1986."
d_4_s21,"It will be seen that the report of the Advisory Board was more than three weeks after the detention which commenced on the making of the order of detention, though it was within three months from the date of the second order of detention."
d_4_s22,"The learned counsel for the appellant contends that there has been a contravention of the Constitutional protection afforded by article 22(4) and therefore, the appellant is entitled to be set at liberty."
d_4_s23,"He does not dispute that under sec. 15(2) of the Gujarat Prevention of Anti Social Activities Act the expiry or revocation of an earlier detention order shall not bar the making of a subsequent detention order under the Act against the same person, subject to the proviso that if there were no fresh facts, the maximum period for which a person may be detained shall not extend beyond the expiry of a period of 12 months from the date of detention under the earlier detention order."
d_4_s24,"He submits that this provision, if to be sustained, as constitutionally valid, must be read down so that it does not offend the mandate of article 22(4) of the Constitution that no law providing for preventive detention shall authorise the detention of a person for a longer period than three months unless the Advisory Board has reported within the period of three months that there is in its opinion sufficient cause for such detention."
d_4_s25,"On the other hand, the learned counsel for the State of Gujarat submits that it is enough if the report of the Advisory Board is obtained within three months of the subsequent order of detention, where the earlier order is revoked and a subsequent order is made."
d_4_s26,"The real question for consideration is whether a law may be made providing for successive orders for detention in a manner as to render the protection of article 22(4) of the Constitution ineffective? For example, can a fresh order of detention be made every 89th day making it unnecessary to obtain the report of the Advisory Board within three months of the detention? That is what it will amount to if the submission of he learned counsel for the State is accepted."
d_4_s27,"It, therefore, becomes imperative to read down sec. 15 of the Gujarat Prevention of Anti Social Activities Act, 1985 which provides for the making of successive of order of detention so as to bring it in conformity with article 22(4) of Constitution."
d_4_s28,"If there is to be a collision between article 22(4) of the Constitution and sec. 15 of the Act, sec. 15 has to yield."
d_4_s29,"But by reading down the provision, the collision may be avoided and sec. 15 may be sustained."
d_4_s30,"So, avoiding the collision course, we held that if the report of the Advisory Board is not made within three months of the date of detention, the detention becomes illegal notwithstanding that it is within three months from the date of the second order of detention."
d_4_s31,"The learned counsel for the petitioner invited our attention to the decision of the court in Shibapada Mukherjee vs State of West Bengal, [1974] 3 SCC 50 1972 Indlaw SC 646, where the court referring to cls. 4 and 7 of article 22 observed."
d_4_s32,"It is clear from cls. (4) and (7) of article 22 that the policy of article 22 is, except where there is a Central Act to the contrary passed u/cl. (7) (a), to permit detention for a period of three months only, and detention in excess of that period is permissible only in those cases where an Advisory Board set up under the relevant statute, has reported as to the sufficiency of the cause for such detention."
d_4_s33,"Obviously, the Constitution looks upon preventive detention with disfavour and has permitted it only for a limited period of three months without the intervention of an independent body with persons on it of judicial qualifications of a high order."
d_4_s34,"The facts that the report of such an Advisory Board has to be obtained before the expiry of three months from the date of detention shows that the maximum period within which the detaining authority can on its own satisfaction detain a person is three months The observation of the court to the extent that they go to support the contention of the learned counsel for the appellant, but we must say that in that case, the court was not confronted with the present situation at all."
d_4_s35,"The learned counsel for the State referred us to A.K. Roy vs Union of India, [1982] 1 SCC 271 1981 Indlaw SC 381, where the court referring to an argument based on sec. 11(2) of the National Security Act said:"
d_4_s36,"section 11(2) of the Act provides specifically that the report of the Advisory Board shall specify its opinion as to whether or not there is sufficient cause for the detention of the person concerned""."
d_4_s37,This implies that the question to which the Advisory Board has to apply its mind is whether on the date of its report there is sufficient cause for the detention of the person.
d_4_s38,"That inquiry necessary involves the consideration of the question as to whether there was sufficient cause for the detention of the person when the order of the detention was passed, but we see no justification for extending the jurisdiction of the Advisory Board to the consideration of the question as to whether it is necessary to continue the detention of the person beyond the date on which its report or beyond the period of three months after the date of detention."""
d_4_s39,"The learned counsel for the State also invited our attention to the decision of a learned single Judge of this Court, rendered during the vacation, in Talib Hussain vs State of Jummu & Kashmir, [1971] 3 SCC 118 1970 Indlaw SC 485, where he observed:"
d_4_s40,"In regard to the submission that the petitioner was arrested and deprived of his person liberty long before the order of his arrest and this invalidated his detention, it is sufficient to point out that in habeas corpus proceeding the Court has to consider the legality of the detention on the date of hearing. 'If on the date of hearing it cannot be said that the aggrieved party has been wrongfully deprived of his personal liberty and his detention is contrary to law a writ of habeas corpus cannot issue."
d_4_s41,Neither of the cases cited by the learned counsel for the State deal with the question now at issue even in a remote way.
d_4_s42,They do not have any application.
d_4_s43,"We only desire to add that in a habeas corpus proceeding, it is not a sufficient answer to say that the procedural requirements of the Constitution and the statute have been complied with before the date of hearing and therefore, the detention should be upheld."
d_4_s44,The procedural requirements are the only safeguards available to a detenu since the court is not expected to go behind the subjective satisfaction of the detaining authority.
d_4_s45,"The procedural requirements are, therefore, to be strictly complied with if any value is to be attached to the liberty of the subject and the Constitutional rights guaranteed to him in that regard."
d_4_s46,"If a reference to an Advisory Board is to be made within three weeks, it is no answer to say that the reference, though not made within three weeks, was made before the hearing of the case."
d_4_s47,"If the report of the advisory Board is to be obtained within three months, it is no answer to say that the report though not obtained within three months, was obtained before the hearing of the case."
d_4_s48,"If the representation made by the detenu is required to be disposed of within a stipulated period, it is not answer to say that the representation, though not disposed of within three months, was disposed of before the hearing of the case."
d_4_s49,"We mentioned that we were intrigued that an order of detention should have been made, knowing full well that there was no Advisory Board in existence to whom a reference could be made under the Act and whose report could be obtained as required by the Constitution."
d_4_s50,Such a casual and indifferent approach betrays a disregard for the rights of citizens and this has to be deprecated.
d_4_s51,"We have no option but to allow the appeal and quash the order of detention dated August 7, 1986."
d_4_s52,The petitioner is now on parole.
d_4_s53,He need not surrender to his parole.
d_4_s54,"In the view that we have taken, we have refrained from referring to the other submissions of the learned counsel for the appellant."
d_5_s1,"This is a petition article 32 of the Constitution filed by one Madhu Mehta, who is the National Convenor of Hindustani Andolan."
d_5_s2,"This petition seeks a writ of Habeas Corpus or an appropriate direction with regard to one Shri Gyasi Ram, S/o Shri Param aged above 60 years, who, it is claimed, has been waiting decision on his Mercy Petition pending before the President of India for about 8 or 9 years."
d_5_s3,"The said Gyasi Ram was at all relevant time lodged in ""DEATH CELL, CENTRAL JAIL"" JHANSI having been convicted for an offence punishable section 302 of Indian Penal Code and sentenced to death by the learned Sessions Judge, Jhansi on 19 October 1978."
d_5_s4,"It appears that Gyasi Ram was convicted and sentenced to death by the learned Sessions Judge, Jhansi on 19 October 1978 for committing murder, which has been described by the UnderSecretary (Judicial), Ministry of Home Affairs, Govt. of India, as the 'cold blooded murder' of a Government servant, namely, Bhagwan Singh, who was the resident of Mauranipur Tehsil, in District Jhansi, Uttar Pradesh."
d_5_s5,There then were arrears of land revenue due from Gyasi Ram and also one Mool Chand.
d_5_s6,"For the purpose of realising the said arrears of land revenue, their property was attached by Amin Bhagwan Singh and the same was put to sale by auction."
d_5_s7,"The auction took place on 26 December 1976 and after the auction while the said Amin was returning along with his Peon Sripat from village Kakwara after delivering the sale certificate to the auction purchaser, they were way laid by Daya Ram (son of Mool Chand) and Gyasi Ram, the convicts involved in this case."
d_5_s8,"In the evidence, it was stated that Daya Ram who was armed with pistol fired at the deceased Amin Bhagwan Singh who fell down from his cycle."
d_5_s9,"While Daya Ram held down Amin Bhagwan Singh, Gyasi Ram, the person about whom this petition is concerned, cut Bhagwan Singh's throat with the sword he was carrying and inflicted other injuries also."
d_5_s10,"After this incident, both Daya Ram and Gyasi Ram, it has been stated, escaped."
d_5_s11,"Gyasi Ram was, however, arrested, tried, convicted and sentenced to death, as mentioned hereinbefore."
d_5_s12,The death sentence was passed on Gyasi Ram by the learned Sessions Judge on 19 October 1976.
d_5_s13,The Allahabad High Court confirmed this death sentenced on 28 February 1979.
d_5_s14,This Court dismissed his Cr.
d_5_s15,A. no. 362/79 on 17 March 1981.
d_5_s16,Mercy Petition was filed by the wife of the convicted to the President of India on 18 December 1981.
d_5_s17,It appears that Mercy Petition has still not been disposed of.
d_5_s18,Daya Ram had absconded and could not be put on trial along with Gyasi Ram.
d_5_s19,"It appears further that Gyasi Ram's Mercy Petitions Dt. 6th October,1981 and 26 November 1981 were rejected by the Governor of Uttar Pradesh on the 26 November 1981 and were received in the Ministry of Home Affairs on the 5 December 1981 for the consideration of the President of India."
d_5_s20,"From the affidavit filed on behalf of the Government of India, it appears that after processing the case, the matter was put up before the President of India on 21 April 1983 for his orders on the Mercy Petitions and that the President after examining the case file, returned the file on 30 July 1983 for further consideration."
d_5_s21,"While the Ministry of Home Affairs was processing the case of Gyasi Ram further, the intimation was received from this Court on 13 November 1984 that Daya Ram, son of Mool Chand had also filed a S.L.P. against the judgment date 17 October 1984 of the Allahabad High Court by which the sentence of death was confirmed on him."
d_5_s22,It appears from the order of this Court Dt. 18 February 1985 dismissing Daya Ram's S.L.P. that this Daya Ram was the same person who was Gyasi Ram's partner in the crime as mentioned hereinbefore.
d_5_s23,"Subsequently, .two"
d_5_s24,Mercy Petitions were filed on behalf of Daya Ram which were forwarded for the consideration of the Governor of Uttar Pradesh in the first instance by the Ministry of Home Affairs Dt. 9 April 1984 and 9 August 1985 respectively.
d_5_s25,These still remain undisposed of.
d_5_s26,It has been asserted on behalf of the Government of India in the half yearly return Dt. 8 August 1985 submitted by the Government of Uttar Pradesh that it was reported that they had received a Mercy Petition from Daya Ram.
d_5_s27,"Thereafter, in successive half yearly reports, the last of these being Dt. 16 January 1989, the State Government had been saying that the Mercy Petition of Daya Ram was still under consideration."
d_5_s28,"It is the version of the Government that in view of the implications of Daya Ram and Gyasi Ram in the same crime, it was considered, it is stated, that the decision on the Mercy Petition of Daya Ram by the Governor of Uttar Pradesh would have a direct bearing on the consideration of the Mercy Petition of Gyasi Ram by the President of India."
d_5_s29,"It was, accordingly, felt, so it is .asserted, that it was desirable to await the decision of the Governor of Uttar Pradesh on Daya Ram's Mercy Petition."
d_5_s30,"But it was only on 18 January 1989 that by a Wireless Message, the Central Government asked the State Government to let the Ministry of Home Affairs know the decision of the Governor on Daya Ram's Mercy Petition and to send it immediately for consideration of the President of India so that the cases of Gyasi Ram and Daya Ram could be submitted together to the President."
d_5_s31,But the Government did not move.
d_5_s32,It is further stated that in reply to the Wireless Message of 18 January 1989 the State Government through its letter Dt. 1 February 1989 intimated that the Mercy Petition of Daya Ram was still under consideration.
d_5_s33,"Thereafter, there was another request to the Chief Secretary by demi official letter of the Ministry of Home Affairs Dt. 3rd February, 1989 to expedite consideration of Daya Ram's Mercy Petition."
d_5_s34,"And upon this, it is stated that by a telex message Dt. 15 March 1989, the State Government had intimated that the Governor of Uttar Pradesh had rejected the Mercy Petition and that formal letter of State Government would follow."
d_5_s35,It was stated on behalf of the Government of India that Mercy Petition of Daya Ram was received by the Ministry of Home Affairs on 21 March 1989 along with the letter.
d_5_s36,"In the affidavit, it is stated that after collecting certain further information from the Supreme Court Registry, the Ministry of Home Affairs ""was now ready to process the Mercy Petitions of Gyasi Ram and Daya Ram and submit the same to the President of India for consideration""."
d_5_s37,The deponent was good enough to state in the affidavit that the delay factor would be kept in view while taking a final decision in the case of Gyasi Ram and he was fully aware of the agony of Gyasi Ram and members of his family.
d_5_s38,"It was stated that in view of the reasons stated above, it was not possible to avoid the delay."
d_5_s39,"The learned District and Sessions Judge, Jhansi had, in the meantime, visited the said convict Gyasi Ram in jail on 22 May 1988 and had sent a report to the Inspector General of Prisons stating ""Gyasi's mental state is such that he might commit suicide by hanging his head on the iron grill of his cell if a decision on his petition is not taken soon."
d_5_s40,"If he is to be hanged, it should be done without any delay or he should be released""."
d_5_s41,The Inspector General's Office further sent an official to Delhi to expedite the case.
d_5_s42,"Thereafter, this petition was filed for the condemned prisoner."
d_5_s43,"Gyasi Ram, until the orders of this Court passed in these proceedings on the 3rd May, 1989, was kept in the Death Cell and it is only pursuant to the orders of this Court that the prisoner was allowed to stay in the Ordinary Cell during the day time."
d_5_s44,The petitioner moved this Court on 11 April 1989 and the notice was issued returnable on 19 April 1989.
d_5_s45,"Time was taken to file affidavit and the order of this Court Dt. 3rd May, 1989 was passed."
d_5_s46,The matter was adjourned for three months.
d_5_s47,Affidavits have been filed but his Mercy Petition still remains undisposed of.
d_5_s48,"The question is: what is to be done? This question of delay in these matters has been examined by this Court from time to time, and how far delay in execution of death sentence necessitates the commutation of the death sentence or release of the condemned prisoner, has been a matter of some controversy and debate."
d_5_s49,"In T.V. Vatheeswaran vs State of Tamil Nadu, [1983] 2 SCR 348 1983 Indlaw SC 441, a bench of two learned Judges considered this 780 aspect."
d_5_s50,"Speaking for this Court, Chinnappa Reddy, J. stated in that decision that article 21 of the Constitution enjoins that any procedure, which deprives a person of his life or liberty must be just, fair and reasonable."
d_5_s51,"It implies humane conditions of detention, preventive or punitive. 'Procedure established by law' does not end with the pronouncement of sentence; it includes the carrying out of sentence."
d_5_s52,"Prolonged detention to await the execution of a sentence of death is an unjust, unfair and unreasonable procedure and the only way to undo the wrong is to quash the sentence of death."
d_5_s53,"Reddy, J. was of the view that the sentence of death is one thing; sentence of death followed by lengthy imprisonment prior to execution is another."
d_5_s54,"A period of anguish and suffering is an inevitable consequence of sentence of death, but a prolongation of it beyond the time necessary for appeal and consideration of reprieve is not."
d_5_s55,And it was no answer to say that the man would struggle to stay alive.
d_5_s56,"It was, therefore, found in that case that a delay exceeding two years in the execution of a sentence of death should be considered sufficient to entitle the person under sentence of death to invoke article 21 and demand the quashing of the sentence of death."
d_5_s57,This Court did so and substituted the sentence of imprisonment in that case.
d_5_s58,That decision was rendered on 16 February 1983.
d_5_s59,The validity of that decision did not last long.
d_5_s60,"On 24 March 1983, in Sher Singh & Ors. vs The State of Punjab, [1983] 2 SCR 582 1983 Indlaw SC 382, a bench of three learned Judges of this Court held that the prolonged delay in the execution of a death sentence is unquestionably an important consideration for determining whether the sentence should be allowed to be executed."
d_5_s61,But no hard and fast rule that 'delay exceeding two years in the execution of a sentence of death should be considered sufficient to entitle the person under sentence of death to invoke article 21 and demand the quashing of the sentence of death' can be laid down as has been done in Vatheeswaran's case (supra).
d_5_s62,"It is not necessary, therefore, to go into the aspect of this matter any more."
d_5_s63,Chief Justice Chandrachud observed that a self imposed rule should be followed by the executive authority rigorously that every mercy petition should be disposed of within a period of three months from the date on which it was received.
d_5_s64,"Long and interminable delay in the disposal of these petitions, it was observed, are serious hurdles in the dispensation of justice and indeed, such delays tend to shake the confidence of the people in the very system of justice."
d_5_s65,"The learned Chief Justice stated that undoubtedly, the executive has the power, in appropriate cases, to act under the aforesaid provisions but, all exercise of power is preconditioned by the duty to be fair and quick."
d_5_s66,"Delay defeats justice, it was observed."
d_5_s67,"In this background, we have to consider the reasons given in the affidavit in this case."
d_5_s68,We have set out the reasons advanced on behalf of the Government.
d_5_s69,They are self explanatory.
d_5_s70,"These do not, in our opinion, indicate any justifiable ground for keeping the Mercy Petitions of Daya Ram and Gyasi Ram pending for such a long time."
d_5_s71,"Indeed, it is not disputed from the affidavit of the Under Secretary, Ministry of Home Affairs, Government of India that in the half yearly return Dt. 8 October 1985 and thereafter in the successive half yearly returns of the Uttar Pradesh Government upto 16 January 1989 year after year, the Mercy Petitions of Daya Ram remained unattended and undisposed of and consequently the Mercy Petition made to the President of India by Gyasi Ram was also undisposed."
d_5_s72,The time and the manner in which the Mercy Petition has been dealt with in this case in respect of Gyasi Ram make sad reading and speak of the deplorable lack of speed and promptitude which in these matters should be there.
d_5_s73,"In the meantime, there is no denying the fact that Gyasi Ram has suffered a great deal of mental pain and agony."
d_5_s74,His condition has been described by the learned Sessions Judge as indicated hereinbefore.
d_5_s75,"Whether death sentence is the appropriate punishment for the crime of murder, cold blooded in certain cases, is another debate."
d_5_s76,This Court in Bachan Singh v.
d_5_s77,"State of Punjab, [1983] 1 SCR 145 at page 221 of the report, observed as follows:"
